gdam,slope_limit
ABW,2.865929
AFG,24.243614
AGO,7.428973
AIA,
ALA,0
ALB,28.147812
AND,4.548378
ARE,4.624856
ARG,2.137867
ARM,30.238148
ASM,
ATA,0
ATF,1.80007
ATG,1.297811
AUS,6.769229
AUT,10.832589
AZE,25.536612
BDI,26.273087
BEL,6.086408
BEN,3.415994
BES,0.269841
BFA,3.173026
BGD,2.021514
BGR,11.981263
BHR,0.186271
BHS,0.556489
BIH,16.210989
BLM,
BLR,3.298978
BLZ,4.191319
BMU,0.20183
BOL,9.561004
BRA,11.071885
BRB,3.734904
BRN,6.203979
BTN,21.077652
BVT,0
BWA,1.787488
CAF,4.707361
CAN,3.888881
CCK,
CHE,12.52125
CHL,12.509132
CHN,25.204954
CIV,8.166758
CMR,10.800287
COD,17.895744
COG,11.165849
COK,
COL,16.851326
COM,7.53772
CPV,17.789068
CRI,20.886215
CUB,5.337554
CUW,0.684257
CXR,
CYM,
CYP,19.215364
CZE,8.868773
DEU,8.281547
DJI,10.200595
DMA,1.646537
DNK,3.614133
DOM,21.02899
DZA,17.341818
ECU,21.663023
EGY,2.044616
ERI,25.187555
ESH,0.411815
ESP,13.368684
EST,2.924233
ETH,26.892231
FIN,1.751857
FJI,23.669579
FLK,0.680848
FRA,10.234382
FRO,0
FSM,7.260054
GAB,7.084688
GBR,6.437243
GEO,19.843121
GGY,
GHA,10.546006
GIB,
GIN,15.869254
GLP,5.965956
GMB,1.987463
GNB,2.968202
GNQ,9.40839
GRC,18.929279
GRD,2.926219
GRL,0
GTM,13.617833
GUF,1.696875
GUM,1.894631
GUY,2.031659
HKG,13.407165
HMD,0
HND,22.447674
HRV,12.479597
HTI,27.670925
HUN,7.23051
IDN,17.698832
IMN,2.464616
IND,8.149132
IOT,
IRL,5.511815
IRN,27.103209
IRQ,28.859808
ISL,0
ISR,16.84638
ITA,19.246298
JAM,12.844722
JEY,
JOR,21.119854
JPN,12.471728
KAZ,7.236053
KEN,15.087383
KGZ,32.02565
KHM,5.4436
KIR,0
KNA,4.544887
KOR,18.942835
KWT,1.759095
LAO,14.401354
LBN,24.035427
LBR,9.566753
LBY,6.867673
LCA,5.751356
LIE,5.377463
LKA,10.424587
LSO,
LTU,3.338281
LUX,11.831325
LVA,2.978891
MAC,
MAF,
MAR,18.529207
MCO,
MDA,9.530616
MDG,20.518816
MDV,0
MEX,10.646726
MHL,0
MKD,18.207542
MLI,3.658514
MLT,3.612343
MMR,14.061131
MNE,22.138908
MNG,17.480881
MNP,3.42442
MOZ,7.598266
MRT,3.827988
MSR,4.832509
MTQ,7.641098
MUS,9.342481
MWI,13.744476
MYS,14.07125
MYT,2.080709
NAM,2.842136
NCL,17.222422
NER,2.408101
NFK,
NGA,5.812604
NIC,20.199718
NIU,2.573189
NLD,2.06533
NOR,9.355268
NPL,32.460766
NRU,
NZL,8.478123
OMN,14.304363
PAK,20.360697
PAN,18.447529
PCN,
PER,24.72834
PHL,27.777668
PLW,3.328681
PNG,24.375961
POL,5.25754
PRI,6.809126
PRK,21.961237
PRT,13.256706
PRY,5.43568
PSE,19.341663
PYF,36.077579
QAT,1.242976
REU,21.469099
ROU,12.420239
RUS,5.645552
RWA,28.607367
SAU,3.597291
SDN,2.980762
SEN,1.784673
SGP,5.003722
SGS,0
SHN,17.505316
SJM,0
SLB,10.115024
SLE,14.740993
SLV,9.642168
SMR,15.577645
SOM,2.564859
SPM,0
SRB,14.275982
SSD,2.559013
STP,5.203058
SUR,1.801048
SVK,10.307669
SVN,15.158213
SWE,4.564484
SWZ,13.46984
SXM,2.142104
SYC,0.138827
SYR,15.404824
TCA,0.946704
TCD,3.717038
TGO,8.069569
THA,11.844556
TJK,33.399422
TKL,
TKM,2.210213
TLS,29.825651
TON,
TTO,5.660956
TUN,13.010297
TUR,23.982822
TUV,
TWN,14.945548
TZA,13.744102
UGA,16.061108
UKR,5.77482
UMI,0
URY,3.760887
USA,5.733142
UZB,16.163382
VAT,
VCT,4.780904
VEN,11.415027
VGB,0.013357
VIR,
VNM,25.566555
VUT,9.739091
WLF,
WSM,18.031906
XAD,2.311681
XCA,1.732661
XCL,0
XKO,14.841296
XNC,8.447423
XPI,
XSP,
YEM,29.647121
ZAF,13.409464
ZMB,6.084736
ZWE,9.417752
